Weather Type,Temperature,Start_destination,End_destination,Total Distance,Ticket Cost,Airlines Name
Windy,17,Cherry Capital Airport (was Cherry County Airpark),José Aponte de la Torre Airport,996,218,Silver Airways
Snow Fall,-2,Wilmington International Airport,Roanoke - Blacksburg Regional Airport (Woodrum Field),327,165,Hawaiian Airlines
Rainy,28,Muskegon County Airport,Fort Smith Regional Airport,752,249,Eastern Airlines
Sunny,38,Waco Regional Airport,Erie International Airport (Tom Ridge Field),428,117,American Airlines
Snow Fall,3,Eagle County Regional Airport,Eagle County Regional Airport,593,250,SkyWest Airlines
Windy,20,Salina Regional Airport,Grand Forks International Airport,484,107,JetBlue
Sunny,38,Dane County Regional Airport (Truax Field),Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),935,352,Frontier Airlines
Windy,16,Gillette - Campbell County Airport,MBS International Airport,475,143,Elite Airways
Snow Fall,-4,Palm Beach International Airport,Denver International Airport,328,191,Frontier Airlines
Snow Fall,-4,Ogdensburg International Airport,Central Illinois Regional Airport at Bloomington-Normal,762,377,Air Wisconsin
Rainy,30,Charlottesville - Albemarle Airport,San Angelo Regional Airport (Mathis Field),943,308,American Airlines
Rainy,30,Elmira/Corning Regional Airport,Rickenbacker International Airport,890,227,Silver Airways
Snow Fall,-9,Westerly State Airport,Central Wisconsin Airport,421,184,Spirit Airlines
Rainy,29,Sheridan County Airport,Pittsburgh International Airport,335,116,Contour Airlines
Snow Fall,3,California Redwood Coast - Humboldt County Airport,Cedar City Regional Airport,677,379,GoJet Airlines
Rainy,30,Wiley Post - Will Rogers Memorial Airport,St. Cloud Regional Airport,798,342,Elite Airways
Windy,15,Lake Charles Regional Airport,Norman Y. Mineta San José International Airport,939,400,Hawaiian Airlines
Sunny,37,George Bush Intercontinental/Houston Airport,Shreveport Regional Airport,455,154,Avelo Airlines
Snow Fall,3,Springfield - Branson National Airport,Harry Reid International Airport,641,245,American Airlines
Sunny,38,Durango - La Plata County Airport,Punta Gorda Airport,763,206,Elite Airways
Rainy,28,Missoula Montana Airport (was Missoula International Airport),Waco Regional Airport,318,116,Sun Country Airlines
Cloudy,33,Wilmington Airport,Cincinnati/Northern Kentucky International Airport,629,281,Frontier Airlines
Cloudy,30,Charleston International Airport / Charleston AFB,Bangor International Airport,317,145,PSA Airlines
Snow Fall,3,Central Illinois Regional Airport at Bloomington-Normal,Raleigh - Durham International Airport,569,369,Sun Country Airlines
Snow Fall,-1,Stillwater Regional Airport,Juneau International Airport,636,295,Allegiant Air
Sunny,38,Kodiak Airport (Benny Benson State Airport),Helena Regional Airport,396,190,Republic Airways
Snow Fall,0,Lawton - Fort Sill Regional Airport,Sitka Rocky Gutierrez Airport,340,100,Endeavor Air
Sunny,35,Fort Wayne International Airport,Corpus Christi International Airport,372,145,Delta Air Lines
Rainy,27,Philadelphia International Airport,Santa Fe Municipal Airport,905,228,Avelo Airlines
Snow Fall,-1,Magic Valley Regional Airport (Joslin Field),Richmond International Airport (Byrd Field),994,249,Silver Airways
Snow Fall,-8,Jackson Hole Airport,John Wayne Airport (was Orange County Airport),743,392,Breeze Airways
Cloudy,35,Reno/Tahoe International Airport,Roswell Air Center,387,150,Breeze Airways
Cloudy,30,University Park Airport,Sitka Rocky Gutierrez Airport,813,266,Sun Country Airlines
Cloudy,31,Greenbrier Valley Airport,Texarkana Regional Airport (Webb Field),931,270,United Airlines
Cloudy,31,Tampa International Airport,Pierre Regional Airport,458,145,PSA Airlines
Snow Fall,-2,Fresno Yosemite International Airport,Tri-State Airport (Milton J. Ferguson Field),780,358,GoJet Airlines
Windy,16,Prescott Municipal Airport (Ernest A. Love Field),Gainesville Regional Airport,910,207,Spirit Airlines
Snow Fall,0,Kenai Municipal Airport,Grand Forks International Airport,824,254,Alaska Airlines
Cloudy,32,North Platte Regional Airport (Lee Bird Field),Dallas Fort Worth International Airport,532,283,PSA Airlines
Rainy,25,Canyonlands Regional Airport,Gen. Edward Lawrence Logan International Airport,740,395,Air Wisconsin
Rainy,25,Ogdensburg International Airport,Salisbury - Ocean City - Wicomico Regional Airport,949,347,Allegiant Air
Windy,21,Shreveport Regional Airport,Memphis International Airport,479,151,Contour Airlines
Windy,15,Fort Smith Regional Airport,Tri-Cities Airport,820,212,Piedmont Airlines
Cloudy,33,Pangborn Memorial Airport,Charlottesville - Albemarle Airport,612,279,Air Wisconsin
Windy,17,Fairbanks International Airport,East Texas Regional Airport,347,105,Spirit Airlines
Windy,24,Gillette - Campbell County Airport,Pensacola International Airport,403,161,Alaska Airlines
Rainy,28,San Luis Obispo County Regional Airport (McChesney Field),Quad City International Airport,785,390,Sun Country Airlines
Sunny,38,Gen. Edward Lawrence Logan International Airport,Charleston International Airport / Charleston AFB,551,302,Southwest Airlines
Cloudy,33,Casper - Natrona County International Airport,Lafayette Regional Airport (Paul Fournet Field),386,100,American Airlines
Sunny,35,Quad City International Airport,Gerald R. Ford International Airport,745,318,Spirit Airlines
Rainy,26,Pensacola International Airport,Alpena County Regional Airport,562,259,Breeze Airways
Rainy,26,Miami International Airport,Hollywood Burbank Airport (was Bob Hope Airport),804,265,Eastern Airlines
Rainy,30,Merle K. (Mudhole) Smith Airport,Atlantic City International Airport,887,393,PSA Airlines
Rainy,28,Watertown Regional Airport,Pellston Regional/Emmet County Airport,379,165,Sun Country Airlines
Cloudy,33,Watertown Regional Airport,Flagstaff Pulliam Airport,684,279,Endeavor Air
Sunny,36,Wrangell Airport (also see Wrangell Seaplane Base),Unalaska Airport (Tom Madsen/Dutch Harbor Airport),875,245,Endeavor Air
Windy,23,Central Nebraska Regional Airport,Seattle - Tacoma International Airport,874,242,Cape Air
Cloudy,31,Brownsville/South Padre Island International Airport,Sarasota - Bradenton International Airport,340,143,Eastern Airlines
Windy,21,Cape Cod Gateway Airport (Boardman/Polando Field),St. Cloud Regional Airport,474,133,Frontier Airlines
Snow Fall,1,Aspen/Pitkin County Airport (Sardy Field),Range Regional Airport (was Chisholm - Hibbing Airport),896,244,Republic Airways
Rainy,25,Gillette - Campbell County Airport,Nantucket Memorial Airport,451,199,Southwest Airlines
Sunny,38,Eagle County Regional Airport,Greenbrier Valley Airport,504,267,Sun Country Airlines
Windy,24,Gustavus Airport,Tweed-New Haven Airport,549,365,Cape Air
Snow Fall,0,Trenton Mercer Airport,Glacier Park International Airport,956,209,Air Wisconsin
Snow Fall,-8,Jack Brooks Regional Airport (was Southeast Texas Regional),Atlantic City International Airport,772,311,American Airlines
Snow Fall,-1,Asheville Regional Airport,Lewiston - Nez Perce County Airport,356,135,Alaska Airlines
Cloudy,35,General Downing-Peoria International Airport,Tri-State Airport (Milton J. Ferguson Field),912,278,Piedmont Airlines
Snow Fall,-5,Missoula Montana Airport (was Missoula International Airport),Augusta Regional Airport (Bush Field),639,284,American Airlines
Snow Fall,3,Lubbock Preston Smith International Airport,Sawyer International Airport,868,297,Hawaiian Airlines
Cloudy,30,Lynchburg Regional Airport (Preston Glenn Field),Myrtle Beach International Airport,491,147,United Airlines
Sunny,37,Portsmouth International Airport at Pease,Mercedita Airport,570,243,PSA Airlines
Cloudy,30,Daniel K. Inouye International Airport,MBS International Airport,916,371,Piedmont Airlines
Windy,22,Kenai Municipal Airport,Merrill Field,320,140,American Airlines
Rainy,26,Norfolk International Airport,St. Louis Lambert International Airport,531,210,Spirit Airlines
Rainy,30,Columbus Airport,Range Regional Airport (was Chisholm - Hibbing Airport),746,369,Endeavor Air
Cloudy,30,Long Island MacArthur Airport,Elko Regional Airport (J.C. Harris Field),383,155,Air Wisconsin
Windy,18,Williston Basin International Airport,Salisbury - Ocean City - Wicomico Regional Airport,363,142,Avelo Airlines
Rainy,26,Brunswick Golden Isles Airport,Bishop International Airport,804,347,Republic Airways
Snow Fall,3,Tupelo Regional Airport (C.D. Lemons Field),Duluth International Airport,452,134,Silver Airways
Cloudy,33,Hilton Head Airport,Reno/Tahoe International Airport,501,398,Cape Air
Snow Fall,-6,Friedman Memorial Airport,Waynesville-St. Robert Regional Airport (Forney Field),309,129,Avelo Airlines
Sunny,38,Lea County Regional Airport,Santa Fe Municipal Airport,662,337,United Airlines
Snow Fall,-2,Green Bay - Austin Straubel International Airport,Westerly State Airport,699,387,Mesa Airlines
Snow Fall,-3,Kalamazoo/Battle Creek International Airport,Portsmouth International Airport at Pease,1000,234,Piedmont Airlines
Snow Fall,1,Saipan International Airport (Francisco C. Ada),Palm Beach International Airport,793,287,Silver Airways
Snow Fall,2,Rhode Island T. F. Green International Airport,Ontario International Airport,378,187,Breeze Airways
Cloudy,31,Montgomery Regional Airport (Dannelly Field),Bozeman Yellowstone International Airport (was Gallatin Field),439,108,Endeavor Air
Windy,25,Knox County Regional Airport,Central Wyoming Regional Airport (was Riverton Regional),348,119,Republic Airways
Snow Fall,2,St. Pete - Clearwater International Airport,California Redwood Coast - Humboldt County Airport,659,351,CommutAir
Windy,23,Joe Foss Field,Hays Regional Airport,394,138,Mesa Airlines
Sunny,37,St. Cloud Regional Airport,San Francisco International Airport,470,156,Frontier Airlines
Cloudy,30,Corpus Christi International Airport,Destin - Fort Walton Beach Airport / Eglin Air Force Base,809,336,Allegiant Air
Sunny,35,Provo Municipal Airport,McGhee Tyson Airport,369,134,Sun Country Airlines
Windy,17,Key West International Airport,Orlando Sanford International Airport,867,352,Breeze Airways
Windy,15,Jamestown Regional Airport,St. Louis Lambert International Airport,489,167,Silver Airways
Sunny,37,Helena Regional Airport,Syracuse Hancock International Airport,361,158,JetBlue
Rainy,28,Pierre Regional Airport,Oakland International Airport,322,169,Breeze Airways
Windy,22,Kodiak Airport (Benny Benson State Airport),Orlando International Airport,931,301,GoJet Airlines
Snow Fall,-7,Jack Brooks Regional Airport (was Southeast Texas Regional),Dickinson Theodore Roosevelt Regional Airport,339,195,PSA Airlines
Rainy,27,Helena Regional Airport,Charlotte Douglas International Airport,842,390,Hawaiian Airlines
Windy,25,Harrisburg International Airport,Gillette - Campbell County Airport,470,112,Southwest Airlines
Rainy,30,Aberdeen Regional Airport,Page Municipal Airport,863,318,Allegiant Air
Windy,17,Knox County Regional Airport,Wilkes-Barre/Scranton International Airport,887,262,Republic Airways
Windy,21,Appleton International Airport,Birmingham - Shuttlesworth International Airport,946,341,Air Wisconsin
Sunny,38,Bishop International Airport,Santa Fe Municipal Airport,608,209,Silver Airways
Windy,18,Ted Stevens Anchorage International Airport,Friday Harbor Airport,708,244,Endeavor Air
Windy,22,Albuquerque International Sunport,Detroit Metro Wayne County Airport,995,333,Alaska Airlines
Windy,21,Rhode Island T. F. Green International Airport,Evansville Regional Airport,530,229,JetBlue
Snow Fall,0,Huntsville International Airport (Carl T. Jones Field),General Downing-Peoria International Airport,952,378,CommutAir
Cloudy,32,Grand Forks International Airport,José Aponte de la Torre Airport,984,304,SkyWest Airlines
Rainy,28,Portland International Jetport,San Antonio International Airport,353,164,Avelo Airlines
Sunny,36,Indianapolis International Airport,Jackson - Medgar Wiley Evers International Airport,566,327,JetBlue
Cloudy,34,Dillingham Airport,Midland International Air and Space Port,449,100,Hawaiian Airlines
Windy,24,Albuquerque International Sunport,Des Moines International Airport,791,384,Allegiant Air
Cloudy,33,Tinian International Airport (West Tinian),Kenai Municipal Airport,798,272,Breeze Airways
Windy,25,Muskegon County Airport,Lanai Airport,635,377,SkyWest Airlines
Windy,25,Gen. Edward Lawrence Logan International Airport,Gerald R. Ford International Airport,303,152,Cape Air
Cloudy,35,Western Nebraska Regional Airport (William B. Heilig Field),Birmingham - Shuttlesworth International Airport,936,395,Spirit Airlines
Snow Fall,3,Charlotte Douglas International Airport,Tampa International Airport,965,241,Silver Airways
Sunny,36,Cleveland Hopkins International Airport,Jackson Hole Airport,749,379,Hawaiian Airlines
Windy,21,Pellston Regional/Emmet County Airport,King County International Airport (Boeing Field),499,146,Delta Air Lines
Cloudy,34,Muskegon County Airport,Nashville International Airport (Berry Field),386,140,Delta Air Lines
Sunny,39,Albuquerque International Sunport,Prescott Municipal Airport (Ernest A. Love Field),549,248,Horizon Air
Sunny,38,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),San Antonio International Airport,592,279,Elite Airways
Windy,23,Portland International Jetport,Idaho Falls Regional Airport (Fanning Field),806,389,Sun Country Airlines
Snow Fall,-5,Santa Fe Municipal Airport,Friedman Memorial Airport,441,173,United Airlines
Cloudy,32,Stillwater Regional Airport,Gunnison - Crested Butte Regional Airport,722,209,Endeavor Air
Windy,23,Cherry Capital Airport (was Cherry County Airpark),McGhee Tyson Airport,636,374,Eastern Airlines
Windy,20,La Crosse Regional Airport,Sawyer International Airport,694,299,Avelo Airlines
Snow Fall,-9,Concord-Padgett Regional Airport,William P. Hobby Airport,488,190,Air Wisconsin
Snow Fall,0,Quad City International Airport,LaGuardia Airport (and Marine Air Terminal),410,160,Southwest Airlines
Snow Fall,-9,Chippewa Valley Regional Airport,Waco Regional Airport,458,153,Frontier Airlines
Rainy,30,Florence Regional Airport,Chicago O'Hare International Airport,664,392,Envoy Air
Sunny,36,Norfolk International Airport,Waynesville-St. Robert Regional Airport (Forney Field),724,348,Air Wisconsin
Rainy,25,Benjamín Rivera Noriega Airport,St. Cloud Regional Airport,795,399,Eastern Airlines
Snow Fall,0,Bozeman Yellowstone International Airport (was Gallatin Field),Sheridan County Airport,821,282,Republic Airways
Windy,15,Gerald R. Ford International Airport,Gerald R. Ford International Airport,604,307,PSA Airlines
Cloudy,33,Asheville Regional Airport,La Crosse Regional Airport,400,134,Breeze Airways
Sunny,35,Wiley Post - Will Rogers Memorial Airport,Bethel Airport (also see Bethel Seaplane Base),934,282,Eastern Airlines
Snow Fall,-7,Charlotte Douglas International Airport,Aberdeen Regional Airport,757,373,Breeze Airways
Rainy,29,Buffalo Niagara International Airport,Albert J. Ellis Airport,441,152,Horizon Air
Windy,19,James M. Cox Dayton International Airport,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),498,200,Avelo Airlines
Windy,15,Lynchburg Regional Airport (Preston Glenn Field),Aberdeen Regional Airport,868,307,Cape Air
Sunny,38,Dallas Love Field,Asheville Regional Airport,989,223,Frontier Airlines
Windy,18,Aspen/Pitkin County Airport (Sardy Field),Pierre Regional Airport,763,275,Contour Airlines
Cloudy,30,Pensacola International Airport,Orlando Sanford International Airport,933,224,JetBlue
Rainy,29,Golden Triangle Regional Airport,Charlotte Douglas International Airport,480,193,Cape Air
Snow Fall,-9,Raleigh - Durham International Airport,Lawton - Fort Sill Regional Airport,869,341,Silver Airways
Windy,24,Phoenix Sky Harbor International Airport,Memphis International Airport,972,255,Breeze Airways
Snow Fall,-5,Idaho Falls Regional Airport (Fanning Field),Yellowstone Airport,721,247,Frontier Airlines
Snow Fall,1,Casper - Natrona County International Airport,Alexandria International Airport,738,379,Delta Air Lines
Rainy,29,Homer Airport,San Angelo Regional Airport (Mathis Field),589,309,Hawaiian Airlines
Snow Fall,-2,Ontario International Airport,Charlottesville - Albemarle Airport,689,253,SkyWest Airlines
Windy,20,Tyler Pounds Regional Airport,Yuma International Airport / MCAS Yuma,398,194,Piedmont Airlines
Sunny,38,Roanoke - Blacksburg Regional Airport (Woodrum Field),Eastern Iowa Airport,545,230,Cape Air
Cloudy,33,Tampa International Airport,North Platte Regional Airport (Lee Bird Field),488,153,JetBlue
Snow Fall,1,Louis Armstrong New Orleans International Airport,Palm Springs International Airport,887,239,Frontier Airlines
Cloudy,31,Rhinelander - Oneida County Airport,Mahlon Sweet Field,602,284,SkyWest Airlines
Windy,17,Jackson - Medgar Wiley Evers International Airport,Miami International Airport,698,383,United Airlines
Snow Fall,-7,Western Nebraska Regional Airport (William B. Heilig Field),Detroit Metro Wayne County Airport,668,321,Sun Country Airlines
Rainy,26,El Paso International Airport,Idaho Falls Regional Airport (Fanning Field),787,242,Endeavor Air
Cloudy,34,Watertown International Airport,Middle Georgia Regional Airport,528,203,United Airlines
Sunny,38,Northwest Florida Beaches International Airport,Kearney Regional Airport (was Kearney Municipal),993,253,Elite Airways
Rainy,30,Garden City Regional Airport,King County International Airport (Boeing Field),629,269,Cape Air
Windy,25,Muskegon County Airport,Ted Stevens Anchorage International Airport,655,283,GoJet Airlines
Windy,15,Tupelo Regional Airport (C.D. Lemons Field),Brownsville/South Padre Island International Airport,639,203,PSA Airlines
Snow Fall,-1,Ogdensburg International Airport,Ford Airport,839,266,Piedmont Airlines
Sunny,37,Orlando International Airport,Tinian International Airport (West Tinian),366,140,Piedmont Airlines
Cloudy,34,Killeen - Fort Hood Regional Airport / Robert Gray Army Airfield,Elmira/Corning Regional Airport,619,279,Sun Country Airlines
Rainy,28,MidAmerica St. Louis Airport / Scott Air Force Base,Pellston Regional/Emmet County Airport,783,341,Sun Country Airlines
Rainy,27,Ford Airport,Fort Wayne International Airport,999,205,Envoy Air
Cloudy,33,Trenton Mercer Airport,Fayetteville Regional Airport (Grannis Field),422,147,JetBlue
Cloudy,31,Northwest Florida Beaches International Airport,Greater Binghamton Airport (Edwin A. Link Field),871,363,Alaska Airlines
Cloudy,30,Fort Wayne International Airport,Williston Basin International Airport,920,251,JetBlue
Windy,25,Knox County Regional Airport,San Luis Valley Regional Airport (Bergman Field),981,263,Republic Airways
Snow Fall,-5,Lawton - Fort Sill Regional Airport,Palm Springs International Airport,795,245,Endeavor Air
Snow Fall,0,Southwest Florida International Airport,Rochester International Airport,935,344,Cape Air
Windy,16,Asheville Regional Airport,San Luis Obispo County Regional Airport (McChesney Field),654,253,United Airlines
Cloudy,33,Wrangell Airport (also see Wrangell Seaplane Base),Portland International Airport,302,101,Envoy Air
Rainy,25,King County International Airport (Boeing Field),University of Illinois - Willard Airport,786,328,Elite Airways
Snow Fall,-1,San Antonio International Airport,Branson Airport,880,204,Horizon Air
Snow Fall,-3,Charlottesville - Albemarle Airport,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),474,131,Piedmont Airlines
Windy,19,Orlando International Airport,Milwaukee Mitchell International Airport,878,295,JetBlue
Snow Fall,1,Grand Junction Regional Airport (Walker Field),Birmingham - Shuttlesworth International Airport,721,281,GoJet Airlines
Rainy,26,Fresno Yosemite International Airport,Joe Foss Field,558,208,Avelo Airlines
Snow Fall,-6,Chippewa Valley Regional Airport,Santa Maria Public Airport (Capt G. Allan Hancock Field),699,215,Eastern Airlines
Snow Fall,-9,Waynesville-St. Robert Regional Airport (Forney Field),Pellston Regional/Emmet County Airport,477,131,United Airlines
Rainy,25,Westerly State Airport,Palm Springs International Airport,325,126,Air Wisconsin
Rainy,30,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport),Ronald Reagan Washington National Airport,536,383,Hawaiian Airlines
Rainy,25,Gainesville Regional Airport,Des Moines International Airport,577,213,Spirit Airlines
Snow Fall,-9,Seattle - Tacoma International Airport,Tinian International Airport (West Tinian),349,133,Elite Airways
Rainy,28,Friedman Memorial Airport,Midland International Air and Space Port,693,384,Contour Airlines
Snow Fall,-9,Manhattan Regional Airport,Richmond International Airport (Byrd Field),324,183,Avelo Airlines
Rainy,29,Henry E. Rohlsen Airport,Pangborn Memorial Airport,887,200,Contour Airlines
Cloudy,31,City of Colorado Springs Municipal Airport,Will Rogers World Airport,340,138,Spirit Airlines
Snow Fall,3,Ontario International Airport,Chippewa Valley Regional Airport,792,252,United Airlines
Windy,25,Richmond International Airport (Byrd Field),Central Nebraska Regional Airport,924,239,United Airlines
Cloudy,32,Valdosta Regional Airport,Antonio Rivera Rodríguez Airport,802,261,Mesa Airlines
Cloudy,33,New York Stewart International Airport,Tri-State Airport (Milton J. Ferguson Field),410,113,Eastern Airlines
Snow Fall,-5,Nantucket Memorial Airport,Brownsville/South Padre Island International Airport,565,256,SkyWest Airlines
Sunny,36,Houghton County Memorial Airport,Sacramento International Airport,440,189,Cape Air
Windy,17,Phoenix Sky Harbor International Airport,Orlando Sanford International Airport,956,362,Horizon Air
Cloudy,34,Middle Georgia Regional Airport,Greenville - Spartanburg International Airport (Roger Milliken Field),328,145,SkyWest Airlines
Rainy,27,Brainerd Lakes Regional Airport,Charlottesville - Albemarle Airport,346,136,Eastern Airlines
Windy,16,Duluth International Airport,Wiley Post - Will Rogers Memorial Airport,478,135,Piedmont Airlines
Snow Fall,-2,Sitka Rocky Gutierrez Airport,Lubbock Preston Smith International Airport,997,262,Avelo Airlines
Snow Fall,-5,Columbus Airport,Hector International Airport,957,206,Cape Air
Windy,16,Dillingham Airport,Chippewa County International Airport,768,287,PSA Airlines
Cloudy,32,Page Municipal Airport,Columbus Airport,508,371,Cape Air
Snow Fall,-8,Sitka Rocky Gutierrez Airport,San Antonio International Airport,552,376,Avelo Airlines
Snow Fall,0,Bethel Airport (also see Bethel Seaplane Base),Columbus Airport,927,223,Allegiant Air
Cloudy,35,Fairbanks International Airport,Key West International Airport,501,301,Horizon Air
Cloudy,30,Watertown Regional Airport,Dillingham Airport,327,144,Endeavor Air
Rainy,30,Melbourne Orlando International Airport,Fairbanks International Airport,511,298,Republic Airways
Cloudy,31,Key West International Airport,Gainesville Regional Airport,817,378,Avelo Airlines
Windy,20,Rhode Island T. F. Green International Airport,Lafayette Regional Airport (Paul Fournet Field),608,318,Southwest Airlines
Windy,23,Petersburg James A. Johnson Airport,University of Illinois - Willard Airport,527,332,Sun Country Airlines
Sunny,38,Del Rio International Airport,Glacier Park International Airport,448,103,Elite Airways
Sunny,37,Idaho Falls Regional Airport (Fanning Field),Oakland International Airport,820,381,Spirit Airlines
Rainy,30,Gulfport - Biloxi International Airport,Bradley International Airport,428,172,SkyWest Airlines
Snow Fall,-5,Knox County Regional Airport,Newport News/Williamsburg International Airport (Patrick Henry Field),568,304,Delta Air Lines
Windy,22,Southwest Florida International Airport,Bismarck Municipal Airport,481,112,Eastern Airlines
Windy,18,Pittsburgh International Airport,Rapid City Regional Airport,664,276,Allegiant Air
Cloudy,32,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),Meadows Field,887,212,Frontier Airlines
Snow Fall,-9,Columbia Regional Airport,Houghton County Memorial Airport,792,345,Avelo Airlines
Windy,18,Pierre Regional Airport,Columbia Metropolitan Airport,456,169,Air Wisconsin
Windy,15,Manchester - Boston Regional Airport,Greenville - Spartanburg International Airport (Roger Milliken Field),598,283,United Airlines
Cloudy,33,Greenbrier Valley Airport,Monterey Regional Airport (was Monterey Peninsula Airport),808,222,Air Wisconsin
Snow Fall,-7,University of Illinois - Willard Airport,General Downing-Peoria International Airport,743,339,United Airlines
Cloudy,32,Nantucket Memorial Airport,Montrose Regional Airport,758,292,Eastern Airlines
Rainy,30,Chippewa Valley Regional Airport,Gunnison - Crested Butte Regional Airport,318,149,SkyWest Airlines
Rainy,30,Nashville International Airport (Berry Field),Tulsa International Airport,993,245,Hawaiian Airlines
Windy,17,Veterans Airport of Southern Illinois (Williamson County Regional Airport),Grand Junction Regional Airport (Walker Field),501,226,Allegiant Air
Rainy,27,Rickenbacker International Airport,Northwest Florida Beaches International Airport,912,378,Elite Airways
Cloudy,34,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Phoenix Sky Harbor International Airport,979,273,Breeze Airways
Cloudy,31,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Williston Basin International Airport,965,255,Avelo Airlines
Sunny,35,Shenandoah Valley Regional Airport,Antonio B. Won Pat International Airport,424,120,Breeze Airways
Rainy,29,Punta Gorda Airport,Rapid City Regional Airport,603,266,United Airlines
Windy,15,Fayetteville Regional Airport (Grannis Field),Ogdensburg International Airport,323,115,Endeavor Air
Windy,18,Ford Airport,Pierre Regional Airport,559,336,Horizon Air
Rainy,27,Petersburg James A. Johnson Airport,Williston Basin International Airport,909,366,Cape Air
Windy,22,Roberts Field,San Luis Valley Regional Airport (Bergman Field),416,102,Allegiant Air
Cloudy,34,Rickenbacker International Airport,Kansas City International Airport (was Mid-Continent International),397,114,Piedmont Airlines
Sunny,36,Eagle County Regional Airport,Chicago Rockford International Airport (was Northwest Chicagoland Regional Airport at Rockford),702,226,Delta Air Lines
Snow Fall,0,Cape Cod Gateway Airport (Boardman/Polando Field),Trenton Mercer Airport,691,300,Breeze Airways
Snow Fall,-3,Grand Forks International Airport,Orlando International Airport,613,365,Southwest Airlines
Sunny,38,Greenville - Spartanburg International Airport (Roger Milliken Field),Delta County Airport,641,378,United Airlines
Cloudy,32,Stockton Metropolitan Airport,Ontario International Airport,900,211,Breeze Airways
Snow Fall,0,Casper - Natrona County International Airport,Salt Lake City International Airport,779,314,Spirit Airlines
Cloudy,31,Portland International Jetport,Nashville International Airport (Berry Field),506,336,CommutAir
Rainy,27,Austin - Bergstrom International Airport,Paine Field (Snohomish County Airport),851,298,Envoy Air
Snow Fall,-6,Fresno Yosemite International Airport,Washington Dulles International Airport,601,227,Spirit Airlines
Windy,18,Henry E. Rohlsen Airport,Louis Armstrong New Orleans International Airport,790,297,Hawaiian Airlines
Snow Fall,-9,Atlantic City International Airport,Evansville Regional Airport,465,192,Delta Air Lines
Sunny,35,Merle K. (Mudhole) Smith Airport,Charles M. Schulz - Sonoma County Airport,747,354,American Airlines
Rainy,27,Pellston Regional/Emmet County Airport,Nashville International Airport (Berry Field),634,230,Southwest Airlines
Windy,17,Charleston International Airport / Charleston AFB,Homer Airport,835,266,Spirit Airlines
Sunny,36,Gainesville Regional Airport,Ronald Reagan Washington National Airport,304,127,Horizon Air
Cloudy,31,Jackson Hole Airport,Washington Dulles International Airport,767,364,Southwest Airlines
Cloudy,35,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),Pocatello Regional Airport,753,300,Republic Airways
Snow Fall,2,Chippewa County International Airport,Erie International Airport (Tom Ridge Field),687,222,Silver Airways
Rainy,26,Pittsburgh International Airport,Tinian International Airport (West Tinian),658,357,Delta Air Lines
Cloudy,32,Mobile Regional Airport,University Park Airport,619,212,Cape Air
Snow Fall,-6,Orcas Island Airport,Fort Wayne International Airport,868,310,Silver Airways
Windy,22,Bellingham International Airport,Montrose Regional Airport,898,246,Endeavor Air
Windy,25,Lawton - Fort Sill Regional Airport,Nantucket Memorial Airport,996,316,American Airlines
Windy,19,Myrtle Beach International Airport,Roberts Field,605,280,Endeavor Air
Windy,24,King Salmon Airport,Elko Regional Airport (J.C. Harris Field),301,132,Breeze Airways
Snow Fall,1,Central Nebraska Regional Airport,La Crosse Regional Airport,528,331,American Airlines
Cloudy,31,Santa Fe Municipal Airport,Wilmington Airport,670,291,Avelo Airlines
Windy,22,Coastal Carolina Regional Airport (was Craven County Regional),Green Bay - Austin Straubel International Airport,403,182,Piedmont Airlines
Rainy,26,Milwaukee Mitchell International Airport,Will Rogers World Airport,722,291,Republic Airways
Cloudy,33,Waco Regional Airport,Piedmont Triad International Airport,735,314,Silver Airways
Cloudy,35,Joe Foss Field,Columbus Airport,635,356,Horizon Air
Snow Fall,-1,Monterey Regional Airport (was Monterey Peninsula Airport),Cherry Capital Airport (was Cherry County Airpark),316,137,Air Wisconsin
Windy,18,Golden Triangle Regional Airport,Charleston International Airport / Charleston AFB,345,197,GoJet Airlines
Windy,18,Key West International Airport,John Glenn Columbus International Airport,744,230,Allegiant Air
Rainy,26,Cherry Capital Airport (was Cherry County Airpark),Lewiston - Nez Perce County Airport,773,247,JetBlue
Sunny,39,Jack Brooks Regional Airport (was Southeast Texas Regional),Bemidji Regional Airport,310,113,CommutAir
Windy,16,Veterans Airport of Southern Illinois (Williamson County Regional Airport),Dallas Love Field,565,345,Southwest Airlines
Rainy,28,Tri-Cities Airport,San Diego International Airport (Lindbergh Field),354,185,Piedmont Airlines
Cloudy,32,California Redwood Coast - Humboldt County Airport,Manhattan Regional Airport,582,314,Endeavor Air
Snow Fall,-8,Evansville Regional Airport,Boulder City Municipal Airport,413,158,American Airlines
